block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
1390;graph500_reference_bfs_sssp;graph_generator.c:92-92,graph_generator.c:98-100,graph_generator.c:132-135;0.066891722381115;0.10499999672174;;;;;;;;
921;graph500_reference_bfs_sssp;validate.c:268-268;0.066891714930534;0.10499998927116;;;;;;;;
933;graph500_reference_bfs_sssp;validate.c:114-114,validate.c:285-285;0.066891714930534;0.10499998927116;;;;;;;;
495;graph500_reference_bfs_sssp;sssp_reference.c:122-122;0.066891707479954;0.10499997437;;;;;;;;
878;graph500_reference_bfs_sssp;validate.c:170-170;0.063706398010254;0.099999994039536;;;;;;;;
919;graph500_reference_bfs_sssp;validate.c:267-267;0.060521073639393;0.094999983906746;;;;;;;;
799;graph500_reference_bfs_sssp;validate.c:144-144;0.057335752993822;0.089999981224537;;;;;;;;
1502;graph500_reference_bfs_sssp;mod_arith_64bit.h:36-36,splittable_mrg.c:173-177,splittable_mrg.c:280-281;0.054150436073542;0.084999985992908;;;;;;;;
1434;graph500_reference_bfs_sssp;mod_arith_64bit.h:62-62;0.054150436073542;0.084999985992908;;;;;;;;
915;graph500_reference_bfs_sssp;validate.c:268-268;0.054150436073542;0.084999985992908;;;;;;;;
900;graph500_reference_bfs_sssp;validate.c:259-259;0.054150436073542;0.084999985992908;;;;;;;;
489;graph500_reference_bfs_sssp;sssp_reference.c:138-138;0.04459447786212;0.069999992847443;;;;;;;;
1459;graph500_reference_bfs_sssp;mod_arith_64bit.h:45-45,mod_arith_64bit.h:56-56,splittable_mrg.c:153-153,splittable_mrg.c:159-159;0.044594474136829;0.069999985396862;;;;;;;;
1393;graph500_reference_bfs_sssp;graph_generator.c:50-51;0.044594474136829;0.069999985396862;;;;;;;;
1403;graph500_reference_bfs_sssp;graph_generator.c:92-92,graph_generator.c:98-100,graph_generator.c:136-138;0.041409160941839;0.064999997615814;;;;;;;;
443;graph500_reference_bfs_sssp;sssp_reference.c:56-56;0.035038515925407;0.054999988526106;;;;;;;;
1411;graph500_reference_bfs_sssp;graph_generator.c:161-161;0.035038515925407;0.054999988526106;;;;;;;;
1396;graph500_reference_bfs_sssp;graph_generator.c:64-65;0.031853199005127;0.049999997019768;;;;;;;;
777;graph500_reference_bfs_sssp;validate.c:62-62;0.028667876496911;0.044999990612268;;;;;;;;
825;graph500_reference_bfs_sssp;validate.c:152-155;0.028667876496911;0.044999990612268;;;;;;;;
1432;graph500_reference_bfs_sssp;mod_arith_64bit.h:61-61,splittable_mrg.c:116-116,splittable_mrg.c:148-148;0.025482557713985;0.03999999538064;;;;;;;;
1401;graph500_reference_bfs_sssp;graph_generator.c:146-146,graph_generator.c:162-162;0.025482557713985;0.03999999538064;;;;;;;;
941;graph500_reference_bfs_sssp;validate.c:289-289;0.025482557713985;0.03999999538064;;;;;;;;
876;graph500_reference_bfs_sssp;validate.c:169-169;0.025482557713985;0.03999999538064;;;;;;;;
461;graph500_reference_bfs_sssp;sssp_reference.c:106-106;0.025482557713985;0.03999999538064;;;;;;;;
482;graph500_reference_bfs_sssp;sssp_reference.c:120-120;0.025482557713985;0.03999999538064;;;;;;;;
913;graph500_reference_bfs_sssp;validate.c:268-268;0.022297237068415;0.034999992698431;;;;;;;;
429;graph500_reference_bfs_sssp;bfs_reference.c:146-146;0.022297237068415;0.034999992698431;;;;;;;;
444;graph500_reference_bfs_sssp;sssp_reference.c:57-58;0.015926599502563;0.024999998509884;;;;;;;;
1392;graph500_reference_bfs_sssp;graph_generator.c:50-50;0.015926599502563;0.024999998509884;;;;;;;;
903;graph500_reference_bfs_sssp;validate.c:258-258;0.015926599502563;0.024999998509884;;;;;;;;
1471;graph500_reference_bfs_sssp;splittable_mrg.c:195-195;0.012741278856993;0.01999999769032;;;;;;;;
1406;graph500_reference_bfs_sssp;graph_generator.c:92-92,graph_generator.c:98-100,graph_generator.c:136-138;0.012741278856993;0.01999999769032;;;;;;;;
917;graph500_reference_bfs_sssp;validate.c:270-270;0.012741278856993;0.01999999769032;;;;;;;;
1436;graph500_reference_bfs_sssp;mod_arith_64bit.h:63-63;0.0095559591427445;0.014999997802079;;;;;;;;
1407;graph500_reference_bfs_sssp;graph_generator.c:207-212,graph_generator.h:44-46;0.0095559591427445;0.014999997802079;;;;;;;;
398;graph500_reference_bfs_sssp;bfs_reference.c:106-106;0.0095559591427445;0.014999997802079;;;;;;;;
1474;graph500_reference_bfs_sssp;splittable_mrg.c:165-165,splittable_mrg.c:193-195;0.0095559591427445;0.014999997802079;;;;;;;;
880;graph500_reference_bfs_sssp;validate.c:171-171;0.0095559591427445;0.014999997802079;;;;;;;;
1498;graph500_reference_bfs_sssp;mod_arith_64bit.h:27-27,splittable_mrg.c:172-172,splittable_mrg.c:279-279;0.0063706394284964;0.00999999884516;;;;;;;;
1500;graph500_reference_bfs_sssp;mod_arith_64bit.h:29-34;0.0063706394284964;0.00999999884516;;;;;;;;
1461;graph500_reference_bfs_sssp;splittable_mrg.c:186-189;0.0063706394284964;0.00999999884516;;;;;;;;
